,pattern,count
0,\b(agresywnego krwiopijcy|agresywnego krwiopijcę|agresywnemu krwiopijcy|agresywni krwiopijcy|agresywny krwiopijca|agresywny krwiopijco|agresywnych krwiopijcach|agresywnych krwiopijców|agresywnym krwiopijcom|agresywnym krwiopijcy|agresywnym krwiopijcą|agresywnymi krwiopijcami)\b,1
1,\b(aligator|aligatora|aligatorach|aligatorami|aligatorem|aligatorom|aligatorowi|aligatory|aligatorze|aligatorów)\b,14
2,\b(arcykapłan|arcykapłana|arcykapłanach|arcykapłanami|arcykapłanem|arcykapłani|arcykapłanie|arcykapłanom|arcykapłanowi|arcykapłanów)\b,2
3,\b(bagienne golemy|bagiennego golema|bagiennemu golemowi|bagienny golem|bagienny golemie|bagiennych golemach|bagiennych golemów|bagiennym golemem|bagiennym golemie|bagiennym golemom|bagiennymi golemami)\b,0
4,\b(bagienne szczury|bagiennego szczura|bagiennemu szczurowi|bagienny szczur|bagienny szczurze|bagiennych szczurach|bagiennych szczurów|bagiennym szczurem|bagiennym szczurom|bagiennym szczurze|bagiennymi szczurami)\b,0
5,\b(bagienne trutnie|bagiennego trutnia|bagiennemu trutniowi|bagienny truteń|bagienny trutniu|bagiennych trutni|bagiennych trutniach|bagiennym trutniem|bagiennym trutniom|bagiennym trutniu|bagiennymi trutniami)\b,0
6,\b(trutnie|trutnia|trutniowi|truteń|trutniu|trutni|trutniach|trutniem|trutniom|trutniu|trutniami)\b,0
7,\b(bagienne zombie|bagiennego zombie|bagiennemu zombie|bagienny zombie|bagiennych zombie|bagiennym zombie|bagiennymi zombie)\b,0
8,\b(baran|barana|baranach|baranami|baranem|baranie|baranom|baranowi|barany|baranów)\b,4
9,\b(brzytw|brzytwa|brzytwach|brzytwami|brzytwie|brzytwo|brzytwom|brzytwy|brzytwą|brzytwę)\b,9
10,\b(brzytwiak|brzytwiaka|brzytwiakach|brzytwiakami|brzytwiaki|brzytwiakiem|brzytwiakom|brzytwiakowi|brzytwiaku|brzytwiaków)\b,0
11,\b(błędne ogniki|błędnego ognika|błędnemu ognikowi|błędny ognik|błędny ogniku|błędnych ognikach|błędnych ogników|błędnym ognikiem|błędnym ognikom|błędnym ogniku|błędnymi ognikami)\b,1
12,\b(chrząszcz|chrząszcza|chrząszczach|chrząszczami|chrząszcze|chrząszczem|chrząszczom|chrząszczowi|chrząszczu|chrząszczy)\b,31
13,\b(cieniostwora|cieniostworach|cieniostworami|cieniostworem|cieniostworom|cieniostworowi|cieniostwory|cieniostworze|cieniostworów|cieniostwór)\b,71
14,\b(czarne gobliny|czarnego goblina|czarnemu goblinowi|czarny goblin|czarny goblinie|czarnych goblinach|czarnych goblinów|czarnym goblinem|czarnym goblinie|czarnym goblinom|czarnymi goblinami)\b,5
15,\b(czarne trolle|czarnego trolla|czarnemu trollowi|czarny troll|czarny trollu|czarnych trollach|czarnych trolli|czarnym trollem|czarnym trollom|czarnym trollu|czarnymi trollami)\b,17
16,\b(czarne wilki|czarnego wilka|czarnemu wilkowi|czarny wilk|czarny wilku|czarnych wilkach|czarnych wilków|czarnym wilkiem|czarnym wilkom|czarnym wilku|czarnymi wilkami)\b,2
17,\b(demon|demona|demonach|demonami|demonem|demonie|demonom|demonowi|demony|demonów)\b,51
18,\b(demon ognia|demona ognia|demonach ognia|demonami ognia|demonem ognia|demonie ognia|demonom ognia|demonowi ognia|demony ognia|demonów ognia)\b,0
19,\b(dzik|dzika|dzikach|dzikami|dziki|dzikiem|dzikom|dzikowi|dziku|dzików)\b,29
20,\b(elitarni orkowie|elitarnych orkach|elitarnych orków|elitarnym orkom|elitarnymi orkami)\b,3
21,\b(golem mostowy|golema mostowego|golemach mostowych|golemami mostowymi|golemem mostowym|golemie mostowy|golemie mostowym|golemom mostowym|golemowi mostowemu|golemy mostowe|golemów mostowych)\b,0
22,\b(gwardzista ork|gwardzistach orkach|gwardzistami orkami|gwardzisto orku|gwardzistom orków|gwardzisty orka|gwardzistów orków|gwardzistą orkiem|gwardzistę orka|gwardziści orków|gwardziście orkowi|gwardziście orku)\b,0
23,\b(jaszczur|jaszczura|jaszczurach|jaszczurami|jaszczurem|jaszczurom|jaszczurowi|jaszczury|jaszczurze|jaszczurów)\b,37
24,\b(kamiennego strażnika|kamiennemu strażnikowi|kamienni strażnicy|kamienny strażnik|kamienny strażniku|kamiennych strażnikach|kamiennych strażników|kamiennym strażnikiem|kamiennym strażnikom|kamiennym strażniku|kamiennymi strażnikami)\b,1
25,\b(kretoszczur|kretoszczura|kretoszczurach|kretoszczurami|kretoszczurem|kretoszczurom|kretoszczurowi|kretoszczury|kretoszczurze|kretoszczurów)\b,34
26,\b(królowa pełzaczy|królowe pełzaczy|królowej pełzaczy|królowo pełzaczy|królowych pełzaczy|królowym pełzaczy|królowymi pełzaczy|królową pełzaczy)\b,10
27,\b(krwawe ogary|krwawego ogara|krwawemu ogarowi|krwawy ogar|krwawy ogarze|krwawych ogarach|krwawych ogarów|krwawym ogarem|krwawym ogarom|krwawym ogarze|krwawymi ogarami)\b,0
28,\b(krwiopijca|krwiopijcach|krwiopijcami|krwiopijco|krwiopijcom|krwiopijcy|krwiopijców|krwiopijcą|krwiopijcę)\b,25
29,\b(książąt demonów|książę demonów|książęta demonów|książętach demonów|książętami demonów|książętom demonów|księcia demonów|księciem demonów|księciu demonów)\b,0
30,\b(kąsacz|kąsacza|kąsaczach|kąsaczami|kąsacze|kąsaczem|kąsaczom|kąsaczowi|kąsaczu|kąsaczy)\b,1
31,\b(latające roje|latającego roju|latającemu rojowi|latający roju|latający rój|latających rojach|latających rojów|latającym rojem|latającym rojom|latającym roju|latającymi rojami)\b,0
32,\b(lodowe golemy|lodowego golema|lodowemu golemowi|lodowy golem|lodowy golemie|lodowych golemach|lodowych golemów|lodowym golemem|lodowym golemie|lodowym golemom|lodowymi golemami)\b,10
33,\b(lodowe wilki|lodowego wilka|lodowemu wilkowi|lodowy wilk|lodowy wilku|lodowych wilkach|lodowych wilków|lodowym wilkiem|lodowym wilkom|lodowym wilku|lodowymi wilkami)\b,2
34,\b(magiczne golemy|magicznego golema|magicznemu golemowi|magiczny golem|magiczny golemie|magicznych golemach|magicznych golemów|magicznym golemem|magicznym golemie|magicznym golemom|magicznymi golemami)\b,0
35,\b(mali krwiopijcy|małego krwiopijcy|małego krwiopijcę|małemu krwiopijcy|mały krwiopijca|mały krwiopijco|małych krwiopijcach|małych krwiopijców|małym krwiopijcom|małym krwiopijcy|małym krwiopijcą|małymi krwiopijcami)\b,0
36,\b(młoda polna bestia|młoda polna bestio|młode polne bestie|młodej polnej bestii|młodych polnych bestiach|młodych polnych bestii|młodym polnym bestiom|młodymi polnymi bestiami|młodą polną bestią|młodą polną bestię)\b,0
37,\b(młode kretoszczury|młodego kretoszczura|młodemu kretoszczurowi|młody kretoszczur|młody kretoszczurze|młodych kretoszczurach|młodych kretoszczurów|młodym kretoszczurem|młodym kretoszczurom|młodym kretoszczurze|młodymi kretoszczurami)\b,0
38,\b(młode olbrzymie szczury|młodego olbrzymiego szczura|młodemu olbrzymiemu szczurowi|młody olbrzymi szczur|młody olbrzymi szczurze|młodych olbrzymich szczurach|młodych olbrzymich szczurów|młodym olbrzymim szczurem|młodym olbrzymim szczurom|młodym olbrzymim szczurze|młodymi olbrzymimi szczurami)\b,0
39,\b(młode trolle|młodego trolla|młodemu trollowi|młody troll|młody trollu|młodych trollach|młodych trolli|młodym trollem|młodym trollom|młodym trollu|młodymi trollami)\b,2
40,\b(młode wilki|młodego wilka|młodemu wilkowi|młody wilk|młody wilku|młodych wilkach|młodych wilków|młodym wilkiem|młodym wilkom|młodym wilku|młodymi wilkami)\b,4
41,\b(młode ścierwojady|młodego ścierwojada|młodemu ścierwojadowi|młody ścierwojad|młody ścierwojadzie|młodych ścierwojadach|młodych ścierwojadów|młodym ścierwojadem|młodym ścierwojadom|młodym ścierwojadzie|młodymi ścierwojadami)\b,19
42,\b(ogar|ogara|ogarach|ogarami|ogarem|ogarom|ogarowi|ogary|ogarze|ogarów)\b,4
43,\b(ognik|ognika|ognikach|ognikami|ogniki|ognikiem|ognikom|ognikowi|ogniku|ogników)\b,3
44,\b(ogniste demony|ognistego demona|ognistemu demonowi|ognisty demon|ognisty demonie|ognistych demonach|ognistych demonów|ognistym demonem|ognistym demonie|ognistym demonom|ognistymi demonami)\b,1
45,\b(ogniste golemy|ognistego golema|ognistemu golemowi|ognisty golem|ognisty golemie|ognistych golemach|ognistych golemów|ognistym golemem|ognistym golemie|ognistym golemom|ognistymi golemami)\b,2
46,\b(ogniste jaszczury|ognistego jaszczura|ognistemu jaszczurowi|ognisty jaszczur|ognisty jaszczurze|ognistych jaszczurach|ognistych jaszczurów|ognistym jaszczurem|ognistym jaszczurom|ognistym jaszczurze|ognistymi jaszczurami)\b,8
47,\b(ogniste smoki|ognistego smoka|ognistemu smokowi|ognisty smok|ognisty smoku|ognistych smokach|ognistych smoków|ognistym smokiem|ognistym smokom|ognistym smoku|ognistymi smokami)\b,2
48,\b(olbrzymi szczur|olbrzymi szczurze|olbrzymich szczurach|olbrzymich szczurów|olbrzymie szczury|olbrzymiego szczura|olbrzymiemu szczurowi|olbrzymim szczurem|olbrzymim szczurom|olbrzymim szczurze|olbrzymimi szczurami)\b,1
49,\b(opiekun świątyni|opiekuna świątyni|opiekunach świątyni|opiekunami świątyni|opiekunem świątyni|opiekunie świątyni|opiekunom świątyni|opiekunowi świątyni|opiekunowie świątyni|opiekunów świątyni)\b,0
50,\b(opiekunach świątyni|opiekunami świątyni|opiekunom świątyni|opiekunowie świątyni|opiekunów świątyni)\b,0
51,\b(ork|orka|orkach|orkami|orkiem|orkom|orkowi|orkowie|orku|orków)\b,474
52,\b(ork myśliwy|orka myśliwego|orkach myśliwych|orkami myśliwymi|orkiem myśliwym|orkom myśliwym|orkowi myśliwemu|orkowie myśliwi|orku myśliwy|orku myśliwym|orków myśliwych)\b,1
53,\b(ork niewolnik|orka niewolnika|orkach niewolnikach|orkami niewolnikami|orkiem niewolnikiem|orkom niewolnikom|orkowi niewolnikowi|orkowie niewolnicy|orku niewolniku|orków niewolników)\b,0
54,\b(ork pułkownik z wyspy irdorath|orka pułkownika z wyspy irdorath|orkach pułkownikach z wyspy irdorath|orkami pułkownikami z wyspy irdorath|orkiem pułkownikiem z wyspy irdorath|orkom pułkownikom z wyspy irdorath|orkowi pułkownikowi z wyspy irdorath|orkowie pułkownicy z wyspy irdorath|orku pułkowniku z wyspy irdorath|orków pułkowników z wyspy irdorath)\b,0
55,\b(ork pułkownik z wyspy khorinis|orka pułkownika z wyspy khorinis|orkach pułkownikach z wyspy khorinis|orkami pułkownikami z wyspy khorinis|orkiem pułkownikiem z wyspy khorinis|orkom pułkownikom z wyspy khorinis|orkowi pułkownikowi z wyspy khorinis|orkowie pułkownicy z wyspy khorinis|orku pułkowniku z wyspy khorinis|orków pułkowników z wyspy khorinis)\b,0
56,\b(ork strażnik|orka strażnika|orkach strażnikach|orkami strażnikami|orkiem strażnikiem|orkom strażnikom|orkowi strażnikowi|orkowie strażnicy|orku strażniku|orków strażników)\b,1
57,\b(ork szaman|orka szamana|orkach szamanach|orkami szamanami|orkiem szamanem|orkom szamanom|orkowi szamanowi|orkowie szamani|orku szamanie|orków szamanów|szaman|szamana|szamanach|szamanami|szamanem|szamanom|szamanowi|szamani|szamanie|szamanów|ork-szaman|orka-szamana|orkach-szamanach|orkami-szamanami|orkiem-szamanem|orkom-szamanom|orkowi-szamanowi|orkowie-szamani|orku-szamanie|orków-szamanów)\b,15
58,\b(ork wiarus|orka wiarusa|orkach wiarusach|orkami wiarusami|orkiem wiarusem|orkom wiarusom|orkowi wiarusowi|orkowie wiarusi|orku wiarusie|orków wiarusów)\b,0
59,\b(ork wojownik|orka wojownika|orkach wojownikach|orkami wojownikami|orkiem wojownikiem|orkom wojownikom|orkowi wojownikowi|orkowie wojownicy|orku wojowniku|orków wojowników)\b,3
60,\b(ork zwiadowca|orka zwiadowcy|orka zwiadowcę|orkach zwiadowcach|orkami zwiadowcami|orkiem zwiadowcą|orkom zwiadowcom|orkowi zwiadowcy|orkowie zwiadowcy|orku zwiadowco|orku zwiadowcy|orków zwiadowców)\b,2
61,\b(ork żołnierz|orka żołnierza|orkach żołnierzach|orkami żołnierzami|orkiem żołnierzem|orkom żołnierzom|orkowi żołnierzowi|orkowie żołnierze|orku żołnierzu|orków żołnierzy)\b,0
62,\b(ork-elita|orka-elity|orka-elitę|orkach-elitach|orkami-elitami|orkiem-elitą|orkom-elitom|orkowi-elicie|orkowie-elity|orku-elicie|orku-elito|orków-elit)\b,1
63,\b(ork-ożywieniec|orka-ożywieńca|orkach-ożywieńcach|orkami-ożywieńcami|orkiem-ożywieńcem|orkom-ożywieńcom|orkowi-ożywieńcowi|orkowie-ożywieńcy|orku-ożywieńcu|orków-ożywieńców)\b,2
64,\b(ork-wojownik|orka-wojownika|orkach-wojownikach|orkami-wojownikami|orkiem-wojownikiem|orkom-wojownikom|orkowi-wojownikowi|orkowie-wojownicy|orku-wojowniku|orków-wojowników)\b,2
65,\b(ork-zwiadowca|orka-zwiadowcy|orka-zwiadowcę|orkach-zwiadowcach|orkami-zwiadowcami|orkiem-zwiadowcą|orkom-zwiadowcom|orkowi-zwiadowcy|orkowie-zwiadowcy|orku-zwiadowco|orku-zwiadowcy|orków-zwiadowców)\b,3
66,\b(orkach niewolnikach|orkami niewolnikami|orkom niewolnikom|orkowie niewolnicy|orków niewolników)\b,0
67,\b(orkowe psy|orkowego psa|orkowemu psu|orkowy pies|orkowy psie|orkowych psach|orkowych psów|orkowym psem|orkowym psie|orkowym psom|orkowymi psami)\b,7
68,\b(owca|owcach|owcami|owce|owco|owcom|owcy|owcą|owcę|owiec)\b,14
69,\b(ożywieni Bloodwynowie|ożywionego Bloodwyna|ożywionemu Bloodwynowi|ożywiony Bloodwyn|ożywiony Bloodwynie|ożywionych Bloodwynach|ożywionych Bloodwynów|ożywionym Bloodwynem|ożywionym Bloodwynie|ożywionym Bloodwynom|ożywionymi Bloodwynami)\b,0
70,\b(panter|pantera|panterach|panterami|pantero|panterom|pantery|panterze|panterą|panterę)\b,3
71,\b(pełzacz|pełzacza|pełzaczach|pełzaczami|pełzacze|pełzaczem|pełzaczom|pełzaczowi|pełzaczu|pełzaczy|pełzaczę)\b,95
72,\b(pomniejsze szkielety|pomniejszego szkieleta|pomniejszego szkieletu|pomniejszemu szkieletowi|pomniejszy szkielecie|pomniejszy szkielet|pomniejszych szkieletach|pomniejszych szkieletów|pomniejszym szkielecie|pomniejszym szkieletem|pomniejszym szkieletom|pomniejszymi szkieletami)\b,0
73,\b(preriowe ścierwojady|preriowego ścierwojada|preriowemu ścierwojadowi|preriowy ścierwojad|preriowy ścierwojadzie|preriowych ścierwojadach|preriowych ścierwojadów|preriowym ścierwojadem|preriowym ścierwojadom|preriowym ścierwojadzie|preriowymi ścierwojadami)\b,11
74,\b(prychające smocze zębacze|prychającego smoczego zębacza|prychającemu smoczemu zębaczowi|prychający smoczy zębacz|prychający smoczy zębaczu|prychających smoczych zębaczach|prychających smoczych zębaczy|prychającym smoczym zębaczem|prychającym smoczym zębaczom|prychającym smoczym zębaczu|prychającymi smoczymi zębaczami)\b,0
75,\b(przywódca grupy|przywódcach grup|przywódcami grup|przywódco grupy|przywódcom grup|przywódcy grup|przywódcy grupy|przywódców grup|przywódcą grupy|przywódcę grupy)\b,0
76,\b(przywołane błotniaki|przywołanego błotniaka|przywołanemu błotniakowi|przywołany błotniak|przywołany błotniaku|przywołanych błotniakach|przywołanych błotniaków|przywołanym błotniakiem|przywołanym błotniakom|przywołanym błotniaku|przywołanymi błotniakami)\b,0
77,\b(przywołanego kamiennego strażnika|przywołanemu kamiennemu strażnikowi|przywołani kamienni strażnicy|przywołany kamienny strażnik|przywołany kamienny strażniku|przywołanych kamiennych strażnikach|przywołanych kamiennych strażników|przywołanym kamiennym strażnikiem|przywołanym kamiennym strażnikom|przywołanym kamiennym strażniku|przywołanymi kamiennymi strażnikami)\b,0
78,\b(przywołane zombie|przywołanego zombie|przywołanemu zombie|przywołany zombie|przywołanych zombie|przywołanym zombie|przywołanymi zombie)\b,0
79,\b(przyzwane szkielety|przyzwanego szkieleta|przyzwanego szkieletu|przyzwanemu szkieletowi|przyzwany szkielecie|przyzwany szkielet|przyzwanych szkieletach|przyzwanych szkieletów|przyzwanym szkielecie|przyzwanym szkieletem|przyzwanym szkieletom|przyzwanymi szkieletami)\b,2
80,\b(pustynne szczury|pustynnego szczura|pustynnemu szczurowi|pustynny szczur|pustynny szczurze|pustynnych szczurach|pustynnych szczurów|pustynnym szczurem|pustynnym szczurom|pustynnym szczurze|pustynnymi szczurami)\b,0
81,\b(szczury|szczura|szczurowi|szczur|szczurze|szczurach|szczurów|szczurem|szczurom|szczurze|szczurami)\b,47
82,\b(ranne węże błotne|rannego węża błotnego|rannemu wężowi błotnemu|ranny wąż błotny|ranny wężu błotny|rannych wężach błotnych|rannych węży błotnych|rannym wężem błotnym|rannym wężom błotnym|rannym wężu błotnym|rannymi wężami błotnymi)\b,0
83,\b(smocze zębacze|smoczego zębacza|smoczemu zębaczowi|smoczy zębacz|smoczy zębaczu|smoczych zębaczach|smoczych zębaczy|smoczym zębaczem|smoczym zębaczom|smoczym zębaczu|smoczymi zębaczami)\b,6
84,\b(smok-ożywieniec|smoka-ożywieńca|smokach-ożywieńcach|smokami-ożywieńcami|smoki-ożywieńce|smokiem-ożywieńcem|smokom-ożywieńcom|smokowi-ożywieńcowi|smoku-ożywieńcu|smoków-ożywieńców)\b,1
85,\b(starsi opiekunowie świątyni|starszych opiekunach świątyni|starszych opiekunów świątyni|starszym opiekunom świątyni|starszymi opiekunami świątyni)\b,0
86,\b(starsi opiekunowie świątyni|starszego opiekuna świątyni|starszemu opiekunowi świątyni|starszy opiekun świątyni|starszy opiekunie świątyni|starszych opiekunach świątyni|starszych opiekunów świątyni|starszym opiekunem świątyni|starszym opiekunie świątyni|starszym opiekunom świątyni|starszymi opiekunami świątyni)\b,0
87,\b(strażnicy krypty|strażnikach krypty|strażnikami krypty|strażnikom krypty|strażników krypty)\b,0
88,\b(strażnicy orków|strażnikach orków|strażnikami orków|strażnikom orków|strażników orków)\b,0
89,\b(strażnicy krypty|strażnik krypty|strażnika krypty|strażnikach krypty|strażnikami krypty|strażnikiem krypty|strażnikom krypty|strażnikowi krypty|strażniku krypty|strażników krypty)\b,0
90,\b(szamanach orków|szamanami orków|szamani orków|szamanom orków|szamanów orków)\b,1
91,\b(szkielecie|szkielet|szkieleta|szkieletach|szkieletami|szkieletem|szkieletom|szkieletowi|szkieletu|szkielety|szkieletów)\b,96
92,\b(szkielecie cieniostworze|szkielet cieniostwór|szkieleta cieniostwora|szkieletach cieniostworach|szkieletami cieniostworami|szkieletem cieniostworem|szkieletom cieniostworom|szkieletowi cieniostworowi|szkieletu cieniostwora|szkielety cieniostwory|szkieletów cieniostworów)\b,0
93,\b(szkielecie goblinie|szkielet goblin|szkieleta goblina|szkieletach goblinach|szkieletami goblinami|szkieletem goblinem|szkieletom goblinom|szkieletowi goblinowi|szkieletu goblina|szkielety gobliny|szkieletów goblinów)\b,3
94,\b(szkielecie magu|szkielet mag|szkielet maga|szkieleta maga|szkieletach magach|szkieletami magami|szkieletem magiem|szkieletom magom|szkieletowi magowi|szkieletu maga|szkielety magowie|szkielety magów|szkieletów magów)\b,7
95,\b(szkielecie magu z wieży mgieł|szkielet maga z wieży mgieł|szkieleta maga z wieży mgieł|szkieletach magach z wieży mgieł|szkieletami magami z wieży mgieł|szkieletem magiem z wieży mgieł|szkieletom magom z wieży mgieł|szkieletowi magowi z wieży mgieł|szkieletu maga z wieży mgieł|szkielety magów z wieży mgieł|szkieletów magów z wieży mgieł)\b,1
96,\b(szkielecie wojowniku|szkielet wojownik|szkielet wojownika|szkieleta wojownika|szkieletach wojownikach|szkieletami wojownikami|szkieletem wojownikiem|szkieletom wojownikom|szkieletowi wojownikowi|szkieletu wojownika|szkielety wojownicy|szkielety wojowników|szkieletów wojowników)\b,0
97,\b(szkielecie zwiadowco|szkielecie zwiadowcy|szkielet zwiadowca|szkielet zwiadowcę|szkieleta zwiadowcy|szkieletach zwiadowcach|szkieletami zwiadowcami|szkieletem zwiadowcą|szkieletom zwiadowcom|szkieletowi zwiadowcy|szkieletu zwiadowcy|szkielety zwiadowcy|szkielety zwiadowców|szkieletów zwiadowców)\b,0
98,\b(słudze kruka|słudzy kruka|sług kruka|sługa kruka|sługach kruka|sługami kruka|sługi kruka|sługo kruka|sługom kruka|sługą kruka|sługę kruka)\b,0
99,\b(topielca|topielcach|topielcami|topielce|topielcem|topielcom|topielcowi|topielcu|topielców|topielec)\b,26
100,\b(topielca spod tamy|topielcach spod tamy|topielcami spod tamy|topielce spod tamy|topielcem spod tamy|topielcom spod tamy|topielcowi spod tamy|topielcu spod tamy|topielców spod tamy|topielec spod tamy)\b,1
101,\b(goblin|goblina|goblinach|goblinami|goblinem|goblinie|goblinom|goblinowi|gobliny|goblinów)\b,123
102,\b(goblin wojownik|goblina wojownika|goblinach wojownikach|goblinami wojownikami|goblinem wojownikiem|goblinie wojowniku|goblinom wojownikom|goblinowi wojownikowi|gobliny wojownicy|goblinów wojowników)\b,5
103,\b(goblińscy wojownicy|gobliński wojownik|gobliński wojowniku|goblińskich wojownikach|goblińskich wojowników|goblińskiego wojownika|goblińskiemu wojownikowi|goblińskim wojownikiem|goblińskim wojownikom|goblińskim wojowniku|goblińskimi wojownikami)\b,0
104,\b(golem|golema|golemach|golemami|golemem|golemie|golemom|golemowi|golemy|golemów)\b,50
105,\b(hersztach orków|hersztami orków|herszci orków|hersztom orków|hersztów orków)\b,0
106,\b(herszcie orków|herszt orków|herszta orków|hersztach orków|hersztami orków|hersztem orków|hersztom orków|hersztowi orków|hersztowie orków|hersztów orków)\b,3
107,\b(troll|trolla|trollach|trollami|trolle|trollem|trolli|trollom|trollowi|trollu)\b,119
108,\b(troll jaskiniowy|trolla jaskiniowego|trollach jaskiniowych|trollami jaskiniowymi|trolle jaskiniowe|trollem jaskiniowym|trolli jaskiniowych|trollom jaskiniowym|trollowi jaskiniowemu|trollu jaskiniowy|trollu jaskiniowym)\b,0
109,\b(warg|warga|wargach|wargami|wargi|wargiem|wargom|wargowi|wargu|wargów)\b,8
110,\b(wiarusach orków|wiarusami orków|wiarusi orków|wiarusom orków|wiarusów orków)\b,0
111,\b(wilk|wilka|wilkach|wilkami|wilki|wilkiem|wilkom|wilkowi|wilku|wilków)\b,157
112,\b(wodza hordy|wodzach hord|wodzami hord|wodzem hordy|wodzom hord|wodzowi hordy|wodzowie hord|wodzu hordy|wodzów hord|wódz hordy)\b,0
113,\b(wojownicy orków|wojownikach orków|wojownikami orków|wojownikom orków|wojowników orków)\b,0
114,\b(wojownicy cienia|wojownik cienia|wojownika cienia|wojownikach cienia|wojownikami cienia|wojownikiem cienia|wojownikom cienia|wojownikowi cienia|wojowniku cienia|wojowników cienia)\b,4
115,\b(wąż błotny|węża błotnego|wężach błotnych|wężami błotnymi|węże błotne|wężem błotnym|wężom błotnym|wężowi błotnemu|wężu błotny|wężu błotnym|węży błotnych)\b,7
116,\b(zombi)\b,16
117,\b(zombie)\b,43
118,\b(zwiadowcach orków|zwiadowcami orków|zwiadowcom orków|zwiadowcy orków|zwiadowców orków)\b,0
119,\b(zębacz|zębacza|zębaczach|zębaczami|zębacze|zębaczem|zębaczom|zębaczowi|zębaczu|zębaczy)\b,68
120,\b(ścierwojad|ścierwojada|ścierwojadach|ścierwojadami|ścierwojadem|ścierwojadom|ścierwojadowi|ścierwojady|ścierwojadzie|ścierwojadów)\b,98
121,\b(żołnierzach orków|żołnierzami orków|żołnierze orków|żołnierzom orków|żołnierzy orków)\b,0
122,\b(świątynne pełzacze|świątynnego pełzacza|świątynnemu pełzaczowi|świątynny pełzacz|świątynny pełzaczu|świątynnych pełzaczach|świątynnych pełzaczy|świątynnym pełzaczem|świątynnym pełzaczom|świątynnym pełzaczu|świątynnymi pełzaczami)\b,0
123,\b(jaszczuroczłek|jaszczuroczłeka|jaszczuroczłekach|jaszczuroczłekami|jaszczuroczłekiem|jaszczuroczłekom|jaszczuroczłekowi|jaszczuroczłekowie|jaszczuroczłeku|jaszczuroczłeków|jaszczuroludzi|jaszczuroludziach|jaszczuroludzie|jaszczuroludziom|jaszczuroludźmi)\b,14
124,\b(kamienne golemy|kamiennego golema|kamiennemu golemowi|kamienny golem|kamienny golemie|kamiennych golemach|kamiennych golemów|kamiennym golemem|kamiennym golemie|kamiennym golemom|kamiennymi golemami)\b,3
125,\b(pełzacz wojownik|pełzacza wojownika|pełzaczach wojownikach|pełzaczami wojownikami|pełzacze wojownicy|pełzaczem wojownikiem|pełzaczom wojownikom|pełzaczowi wojownikowi|pełzaczu wojowniku|pełzaczy wojowników)\b,1
126,\b(polna bestia|polna bestio|polne bestie|polnej bestii|polnych bestiach|polnych bestii|polnym bestiom|polnymi bestiami|polną bestią|polną bestię)\b,8
127,\b(polne pełzacze|polnego pełzacza|polnemu pełzaczowi|polny pełzacz|polny pełzaczu|polnych pełzaczach|polnych pełzaczy|polnym pełzaczem|polnym pełzaczom|polnym pełzaczu|polnymi pełzaczami)\b,0
128,\b(pomniejsze demony|pomniejszego demona|pomniejszemu demonowi|pomniejszy demon|pomniejszy demonie|pomniejszych demonach|pomniejszych demonów|pomniejszym demonem|pomniejszym demonie|pomniejszym demonom|pomniejszymi demonami)\b,0
129,\b(przyzwane wilki|przyzwanego wilka|przyzwanemu wilkowi|przyzwany wilk|przyzwany wilku|przyzwanych wilkach|przyzwanych wilków|przyzwanym wilkiem|przyzwanym wilkom|przyzwanym wilku|przyzwanymi wilkami)\b,0
130,\b(smoki|smoka|smokowi|smok|smoku|smokach|smoków|smokiem|smokom|smoku|smokami)\b,191
